Entry	Entry Name	Gene Names	Status	HTTP_Code	pLDDT	Sequence_Length	PDB_File	Error_Message	Protein names
A2ESN8	A2ESN8_TRIV3	TVAG_069970	Downloaded	200	94.75	240	AF-A2ESN8-F1-model_v6.pdb		tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)
A2E5K9	TRM5_TRIV3	TVAG_038970	Downloaded	200	93.69	378	AF-A2E5K9-F1-model_v6.pdb		tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)
A2ELF7	A2ELF7_TRIV3	TVAG_257220	Downloaded	200	80.12	469	AF-A2ELF7-F1-model_v6.pdb		Serine/threonine-protein (EC 2.7.11.1)
A2G3Y9	A2G3Y9_TRIV3	TVAG_116350	Downloaded	200	67.56	690	AF-A2G3Y9-F1-model_v6.pdb		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 (EC 2.1.1.57) (Cap1 2'O-ribose methyltransferase 1)
A0A024E2S3	A0A024E2S3_TRIVA	TVAG_243730 TVAG_243730.2	Downloaded	200	85.75	305	AF-A0A024E2S3-F1-model_v6.pdb		diphthine methyl ester synthase (EC 2.1.1.314)
A2D8M2	A2D8M2_TRIV3	TVAG_185780	Downloaded	200	71.62	259	AF-A2D8M2-F1-model_v6.pdb		[histone H3]-lysine(4) N-trimethyltransferase (EC 2.1.1.354)
A2FE15	A2FE15_TRIV3	TVAG_470080	Downloaded	200	93.88	198	AF-A2FE15-F1-model_v6.pdb		Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100)
A2DDT3	A2DDT3_TRIV3	TVAG_198980	Downloaded	200	94.31	165	AF-A2DDT3-F1-model_v6.pdb		phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.71)
A2DJA1	A2DJA1_TRIV3	TVAG_136190	Downloaded	200	71.69	397	AF-A2DJA1-F1-model_v6.pdb		mRNA m(6)A methyltransferase (EC 2.1.1.348)
A2EXH2	A2EXH2_TRIV3	TVAG_253130	Downloaded	200	94.44	249	AF-A2EXH2-F1-model_v6.pdb		Alpha N-terminal protein methyltransferase 1 (EC 2.1.1.244) (X-Pro-Lys N-terminal protein methyltransferase 1)
A2DM16	A2DM16_TRIV3	TVAG_463050	Downloaded	200	79.38	280	AF-A2DM16-F1-model_v6.pdb		Trimethylguanosine synthase (Cap-specific guanine-N(2) methyltransferase)
A2DQE1	A2DQE1_TRIV3	TVAG_319930	Downloaded	200	85.94	244	AF-A2DQE1-F1-model_v6.pdb		Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog)
A2DVE6	A2DVE6_TRIV3	TVAG_209040	Downloaded	200	88.44	350	AF-A2DVE6-F1-model_v6.pdb		Arsenite methyltransferase (EC 2.1.1.137)
A2DXE8	A2DXE8_TRIV3	TVAG_380100	Downloaded	200	78.69	308	AF-A2DXE8-F1-model_v6.pdb		rRNA 2'-O-methyltransferase fibrillarin (Histone-glutamine methyltransferase)
A2DXH8	A2DXH8_TRIV3	TVAG_380400	Downloaded	200	85.88	237	AF-A2DXH8-F1-model_v6.pdb		tRNA (guanine(9)-N(1))-methyltransferase (EC 2.1.1.221)
A2E7Y7	A2E7Y7_TRIV3	TVAG_127190	Downloaded	200	90.5	347	AF-A2E7Y7-F1-model_v6.pdb		mRNA cap guanine-N(7) methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase)
A2EQ50	A2EQ50_TRIV3	TVAG_474040	Downloaded	200	96.0	292	AF-A2EQ50-F1-model_v6.pdb		Leucine carboxyl methyltransferase 1 (EC 2.1.1.233)
A2F3X6	A2F3X6_TRIV3	TVAG_290980	Downloaded	200	88.94	250	AF-A2F3X6-F1-model_v6.pdb		FtsJ-like methyltransferase family protein
A2EFA7	A2EFA7_TRIV3	TVAG_079770	Downloaded	200	90.5	581	AF-A2EFA7-F1-model_v6.pdb		NOL1/NOP2/sun family protein
A2EGA1	A2EGA1_TRIV3	TVAG_401340	Downloaded	200	93.38	152	AF-A2EGA1-F1-model_v6.pdb		Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (O-6-methylguanine-DNA-alkyltransferase)
A2FAI4	A2FAI4_TRIV3	TVAG_415010	Downloaded	200	94.0	198	AF-A2FAI4-F1-model_v6.pdb		Methyltransferase domain-containing protein
A2EST3	A2EST3_TRIV3	TVAG_390290	Downloaded	200	89.5	252	AF-A2EST3-F1-model_v6.pdb		Small RNA 2'-O-methyltransferase (EC 2.1.1.386)
A2EVN6	A2EVN6_TRIV3	TVAG_299080	Downloaded	200	91.81	295	AF-A2EVN6-F1-model_v6.pdb		rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)
A2F0C3	A2F0C3_TRIV3	TVAG_292510	Downloaded	200	87.12	233	AF-A2F0C3-F1-model_v6.pdb		Ribosomal RNA-processing protein 8 (EC 2.1.1.-)
A2F7I7	A2F7I7_TRIV3	TVAG_115490	Downloaded	200	81.94	476	AF-A2F7I7-F1-model_v6.pdb		NOL1/NOP2/sun family putative RNA methylase containing protein
A2FB51	A2FB51_TRIV3	TVAG_490140	Downloaded	200	89.69	218	AF-A2FB51-F1-model_v6.pdb		protein-histidine N-methyltransferase (EC 2.1.1.85)
A2FGC5	A2FGC5_TRIV3	TVAG_309480	Downloaded	200	93.19	179	AF-A2FGC5-F1-model_v6.pdb		tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216)
A0A7D6J3B8	A0A7D6J3B8_TRIVA		Downloaded	200	97.69	197	AF-A0A7D6J3B8-F1-model_v6.pdb		Serine hydroxymethyltransferase
A2ETI5	A2ETI5_TRIV3	TVAG_055170	Downloaded	200	96.25	190	AF-A2ETI5-F1-model_v6.pdb		Histone-lysine N-methyltransferase, H3 lysine-9 specific, putative
A2D7F8	A2D7F8_TRIV3	TVAG_120120	Downloaded	200	75.5	456	AF-A2D7F8-F1-model_v6.pdb		Pre-SET motif family protein
A2D8E9	A2D8E9_TRIV3	TVAG_185040	Downloaded	200	95.5	198	AF-A2D8E9-F1-model_v6.pdb		Maf-like protein
A2D905	A2D905_TRIV3	TVAG_182670	Downloaded	200	75.31	300	AF-A2D905-F1-model_v6.pdb		MORN repeat-containing protein 3
A2D908	A2D908_TRIV3	TVAG_182700	Downloaded	200	91.31	704	AF-A2D908-F1-model_v6.pdb		Generic methyltransferase, putative
A2DEG6	A2DEG6_TRIV3	TVAG_282630	Downloaded	200	93.81	259	AF-A2DEG6-F1-model_v6.pdb		SPRY domain containing protein
A2DF37	A2DF37_TRIV3	TVAG_172870	Downloaded	200	89.62	329	AF-A2DF37-F1-model_v6.pdb		tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WD40 domain-containing protein
A2GIP8	A2GIP8_TRIV3	TVAG_031080	Downloaded	200	95.88	215	AF-A2GIP8-F1-model_v6.pdb		Methyltransferase type 11 domain-containing protein
A2EGQ3	A2EGQ3_TRIV3	TVAG_302280	Downloaded	200	74.19	306	AF-A2EGQ3-F1-model_v6.pdb		SET domain containing protein
